"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","timeofday","TotalYellow","TotalRed","HBP","ABP","TBP","Total.Fouls","B365H","B365D","B365A","B365CH","B365CD","B365CA","ExpectedR","POS","ERO"
"E0","27/09/2020","19:00","West Ham","Wolves",4,0,"H",1,0,"H","M Atkinson",15,11,7,2,7,11,1,3,0,1,0,0,"Evening",1,0,0,10,10,18,3.6,3.5,2.05,3.3,3.3,2.25,"A","N",2.25
"E0","28/09/2020","17:45","Fulham","Aston Villa",0,3,"A",0,2,"A","S Attwell",16,12,3,5,18,14,5,3,6,3,0,0,"Evening",9,0,60,30,90,32,2.9,3.25,2.5,3,3.4,2.37,"A","Y",2.37
"E0","28/09/2020","20:00","Liverpool","Arsenal",3,1,"H",2,1,"H","C Pawson",21,4,8,3,11,7,7,3,2,2,0,0,"Evening",4,0,20,20,40,18,1.45,4.75,6.5,1.44,5.25,6,"H","Y",1.44
"E0","03/10/2020","12:30","Chelsea","Crystal Palace",4,0,"H",0,0,"D","M Oliver",17,4,6,0,17,13,8,5,2,0,0,0,"Afternoon",2,0,20,0,20,30,1.4,4.75,8,1.5,4.33,6.5,"H","Y",1.5
"E0","03/10/2020","15:00","Everton","Brighton",4,2,"H",2,1,"H","S Hooper",11,11,6,3,13,14,3,10,0,1,0,0,"Afternoon",1,0,0,10,10,27,1.72,3.75,4.8,1.75,3.75,4.75,"H","Y",1.75
"E0","03/10/2020","17:30","Leeds","Man City",1,1,"D",0,1,"A","M Dean",12,23,7,2,11,12,7,10,2,1,0,0,"Evening",3,0,20,10,30,23,7.5,5.25,1.36,8,7.5,1.25,"A","N",1.25
"E0","03/10/2020","20:00","Newcastle","Burnley",3,1,"H",1,0,"H","D Coote",10,7,5,3,13,17,3,4,2,3,0,0,"Evening",5,0,20,30,50,30,2.4,3.2,3.1,2.37,3.25,3.1,"H","Y",2.37
"E0","04/10/2020","12:00","Leicester","West Ham",0,3,"A",0,2,"A","A Madley",4,14,0,6,11,8,6,4,2,2,0,0,"Afternoon",4,0,20,20,40,19,1.61,4.2,5.25,1.75,4,4.2,"H","N",1.75
"E0","04/10/2020","12:00","Southampton","West Brom",2,0,"H",1,0,"H","C Kavanagh",13,5,7,2,19,10,5,1,2,1,0,0,"Afternoon",3,0,20,10,30,29,1.72,3.8,4.75,1.85,3.75,4,"H","Y",1.85
"E0","04/10/2020","14:00","Arsenal","Sheffield United",2,1,"H",0,0,"D","L Mason",6,6,5,2,3,9,2,4,0,1,0,0,"Afternoon",1,0,0,10,10,12,1.57,4,6,1.5,4.2,7,"H","Y",1.5
"E0","04/10/2020","14:00","Wolves","Fulham",1,0,"H",0,0,"D","D England",14,10,5,2,15,8,6,2,1,1,0,0,"Afternoon",2,0,10,10,20,23,1.5,4,7.5,1.75,3.4,5.25,"H","Y",1.75
"E0","04/10/2020","16:30","Man United","Tottenham",1,6,"A",1,4,"A","A Taylor",5,22,2,8,14,10,2,4,2,1,1,0,"Afternoon",3,1,45,10,55,24,1.85,3.8,4,2,3.7,3.6,"H","N",2
"E0","04/10/2020","19:15","Aston Villa","Liverpool",7,2,"H",4,1,"H","M Atkinson",18,14,11,8,7,10,2,7,2,1,0,0,"Evening",3,0,20,10,30,17,10,5.5,1.3,6.5,4.8,1.44,"A","N",1.44
"E0","17/10/2020","12:30","Everton","Liverpool",2,2,"D",1,1,"D","M Oliver",11,22,5,8,15,9,2,5,3,2,1,0,"Afternoon",5,1,55,20,75,24,3.75,4.2,1.83,4.2,4.2,1.72,"A","N",1.72
"E0","17/10/2020","15:00","Chelsea","Southampton",3,3,"D",2,1,"H","P Bankes",11,13,5,6,11,9,6,2,1,1,0,0,"Afternoon",2,0,10,10,20,20,1.45,4.75,6.5,1.53,4.6,5.5,"H","N",1.53
"E0","17/10/2020","17:30","Man City","Arsenal",1,0,"H",1,0,"H","C Kavanagh",13,11,5,3,15,10,6,6,4,1,0,0,"Evening",5,0,40,10,50,25,1.44,5,6.5,1.5,4.75,5.5,"H","Y",1.5
"E0","17/10/2020","20:00","Newcastle","Man United",1,4,"A",1,1,"D","C Pawson",7,28,4,14,9,12,0,7,1,1,0,0,"Evening",2,0,10,10,20,21,4.75,4,1.66,4.5,4.2,1.7,"A","Y",1.7
"E0","18/10/2020","12:00","Sheffield United","Fulham",1,1,"D",0,0,"D","A Marriner",10,15,6,6,5,9,2,5,0,2,0,0,"Afternoon",2,0,0,20,20,14,2.1,3.3,3.7,2.25,3.2,3.5,"H","N",2.25
"E0","18/10/2020","14:00","Crystal Palace","Brighton",1,1,"D",1,0,"H","S Attwell",1,20,1,3,13,12,2,5,3,2,0,1,"Afternoon",5,1,30,45,75,25,2.62,3.3,2.7,3,3.25,2.4,"A","N",2.4
"E0","18/10/2020","16:30","Tottenham","West Ham",3,3,"D",3,0,"H","P Tierney",11,13,6,4,13,12,3,7,0,5,0,0,"Afternoon",5,0,0,50,50,25,1.57,4.33,5.5,1.6,4.2,5.5,"H","N",1.6
"E0","18/10/2020","19:15","Leicester","Aston Villa",0,1,"A",0,0,"D","J Moss",11,10,5,4,18,18,2,7,4,3,0,0,"Evening",7,0,40,30,70,36,1.83,3.8,4.1,2.35,3.6,2.87,"H","N",2.35
"E0","19/10/2020","17:30","West Brom","Burnley",0,0,"D",0,0,"D","A Taylor",13,9,6,4,15,17,8,2,2,2,0,0,"Evening",4,0,20,20,40,32,2.45,3.3,2.9,2.55,3.25,2.9,"H","N",2.55
"E0","19/10/2020","20:00","Leeds","Wolves",0,1,"A",0,0,"D","D Coote",13,7,2,3,13,12,8,3,2,1,0,0,"Evening",3,0,20,10,30,25,2.5,3.3,2.87,2.4,3.4,2.9,"H","N",2.4
"E0","23/10/2020","20:00","Aston Villa","Leeds",0,3,"A",0,0,"D","P Tierney",12,27,4,9,14,17,6,5,2,2,0,0,"Evening",4,0,20,20,40,31,2.05,3.75,3.3,1.85,4,3.8,"H","N",1.85
"E0","24/10/2020","12:30","West Ham","Man City",1,1,"D",1,0,"H","A Taylor",6,14,2,7,14,6,2,10,2,0,0,0,"Afternoon",2,0,20,0,20,20,8,5.25,1.36,6.5,5.25,1.4,"A","N",1.4
"E0","24/10/2020","15:00","Fulham","Crystal Palace",1,2,"A",0,1,"A","G Scott",16,14,3,10,11,11,4,4,0,1,1,0,"Afternoon",1,1,25,10,35,22,2.75,3.1,2.7,2.5,3.2,2.9,"H","N",2.5
"E0","24/10/2020","17:30","Man United","Chelsea",0,0,"D",0,0,"D","M Atkinson",14,6,4,1,8,6,9,6,3,1,0,0,"Evening",4,0,30,10,40,14,2.37,3.6,2.8,2.55,3.5,2.62,"H","N",2.55
